Problem,,,Constructive algorithm,,,Local search,,GRASP,,Known best solution or upper bound
Name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,No. of iterations,Average value,No. of iterations,Best value,
g1,800,19176,9594.25,10137,11364,10,11443.4,50,11481,12078
g2,800,19176,9580.11,10153,11397,10,11431.8,50,11517,12084
g3,800,19176,9587.13,10038,11399,10,11422.9,50,11506,12077
g4,800,19176,9591.8,10029,11415,10,11441.1,50,11536,N/A
g5,800,19176,9583.6,10185,11348,10,11459.8,50,11499,N/A
g6,800,19176,82.73,1469,1910,10,1994.6,50,2047,N/A
g7,800,19176,-87.85,1293,1731,10,1829.1,50,1911,N/A
g8,800,19176,-82.45,1398,1766,10,1811.5,50,1887,N/A
g9,800,19176,-25.88,1308,1823,10,1871.4,50,1935,N/A
g10,800,19176,-79.2,1283,1772,10,1817.8,50,1876,N/A
g11,800,1600,15.92,394,508,10,508.8,50,534,627
g12,800,1600,-1.5,368,510,10,511.2,50,528,621
g13,800,1600,13.64,408,534,10,536.4,50,544,645
g14,800,4694,2349.75,2721,2998,10,3004.6,50,3032,3187
g15,800,4661,2336.56,2747,2974,10,2979.3,50,3003,3169
g16,800,4672,2337.52,2721,2986,10,2985.2,50,3001,3172
g17,800,4667,2331.84,2748,2961,10,2979.7,50,2998,N/A
g18,800,4694,31.63,731,905,10,930.5,50,950,N/A
g19,800,4661,-55.76,622,830,10,838.5,50,859,N/A
g20,800,4672,-23.48,704,841,10,864.4,50,901,N/A
g21,800,4667,-29.12,680,853,10,857.5,50,894,N/A
g22,2000,19990,9992.53,11245,12985,10,13029.8,50,13097,14123
g23,2000,19990,9990.41,11284,12983,10,13018.5,50,13118,14129
g24,2000,19990,10007.6,11133,12958,10,13025.6,50,13096,14131
g25,2000,19990,9994.55,11243,13006,10,13036.9,50,13085,N/A
g26,2000,19990,9980.75,11195,12923,10,13026.4,50,13103,N/A
g27,2000,19990,-20.93,2169,2982,10,3017.2,50,3124,N/A
g28,2000,19990,-40.93,2194,2861,10,2977.5,50,3063,N/A
g29,2000,19990,43.12,2183,3057,10,3099.6,50,3168,N/A
g30,2000,19990,58.01,2238,3041,10,3093,50,3154,N/A
g31,2000,19990,-29.85,2098,2910,10,2985.6,50,3066,N/A
g32,2000,4000,11.02,988,1292,10,1283.8,50,1308,1560
g33,2000,4000,-12.42,918,1256,10,1258.2,50,1282,1537
g34,2000,4000,-25.24,924,1222,10,1269,50,1300,1541
g35,2000,11778,5892.52,6901,7507,10,7514,50,7556,8000
g36,2000,11766,5886.99,6797,7496,10,7511,50,7540,7996
g37,2000,11785,5897.4,6849,7506,10,7528.5,50,7555,8009
g38,2000,11779,5896.71,6853,7516,10,7525.6,50,7554,N/A
g39,2000,11778,13.56,1737,2246,10,2238.1,50,2276,N/A
g40,2000,11766,-40.89,1725,2144,10,2221.8,50,2257,N/A
g41,2000,11785,-6.52,1652,2152,10,2220.8,50,2262,N/A
g42,2000,11779,53.37,1804,2271,10,2294.7,50,2338,N/A
g43,1000,9990,4999.16,5571,6430,10,6508.4,50,6553,7027
g44,1000,9990,4995.07,5551,6436,10,6492.8,50,6536,7022
g45,1000,9990,4994.63,5646,6436,10,6491.3,50,6534,7020
g46,1000,9990,4993.46,5572,6470,10,6498.6,50,6542,N/A
g47,1000,9990,5001.55,5570,6441,10,6506.3,50,6534,N/A
g48,3000,6000,3000.42,5784,6000,10,6000,50,6000,6000
g49,3000,6000,3003.22,5744,6000,10,6000,50,6000,6000
g50,3000,6000,3002.78,5718,5856,10,5858,50,5872,5988
g51,1000,5909,2952.23,3440,3750,10,3770.4,50,3783,N/A
g52,1000,5916,2963,3429,3758,10,3771.3,50,3801,N/A
g53,1000,5914,2956.8,3444,3771,10,3766.4,50,3788,N/A
g54,1000,5916,2961.91,3447,3757,10,3769.3,50,3792,N/A
